capture_datetime,market,team,prob,volume_usd,notes
2026-06-08T20:00:00-04:00,champion,France,0.162,39752398,REHEARSAL
2026-06-08T20:00:00-04:00,champion,Spain,0.160,32256768,REHEARSAL
2026-06-08T20:00:00-04:00,champion,England,0.110,27964851,REHEARSAL
2026-06-08T20:00:00-04:00,champion,Portugal,0.099,33907913,REHEARSAL
2026-06-08T20:00:00-04:00,champion,Argentina,0.085,29318474,REHEARSAL
2026-06-08T20:00:00-04:00,champion,Brazil,0.084,29866482,REHEARSAL
2026-06-08T20:00:00-04:00,champion,Germany,0.054,30602933,REHEARSAL
2026-06-08T20:00:00-04:00,champion,Netherlands,0.040,33724506,REHEARSAL
2026-06-08T20:00:00-04:00,champion,Norway,0.026,34130030,REHEARSAL
2026-06-08T20:00:00-04:00,champion,Belgium,0.023,35430826,REHEARSAL
2026-06-08T20:00:00-04:00,champion,Colombia,0.020,34548330,REHEARSAL
2026-06-08T20:00:00-04:00,champion,Morocco,0.020,40037046,REHEARSAL
2026-06-08T20:00:00-04:00,reach_final,Spain,0.29,15492,REHEARSAL
2026-06-08T20:00:00-04:00,reach_final,France,0.28,17980,REHEARSAL
2026-06-08T20:00:00-04:00,reach_final,England,0.23,19637,REHEARSAL
2026-06-08T20:00:00-04:00,reach_final,Argentina,0.19,3813,REHEARSAL
2026-06-08T20:00:00-04:00,reach_final,Portugal,0.19,27629,REHEARSAL
2026-06-08T20:00:00-04:00,reach_final,Brazil,0.18,12531,REHEARSAL
2026-06-08T20:00:00-04:00,reach_final,Germany,0.13,3106,REHEARSAL
2026-06-08T20:00:00-04:00,reach_final,Netherlands,0.10,13688,REHEARSAL
2026-06-08T20:00:00-04:00,reach_final,Norway,0.07,15935,REHEARSAL
2026-06-08T20:00:00-04:00,reach_final,Belgium,0.07,8387,REHEARSAL
2026-06-08T20:00:00-04:00,reach_final,Morocco,0.06,22062,REHEARSAL
2026-06-08T20:00:00-04:00,reach_final,Colombia,0.05,6055,REHEARSAL
2026-06-08T20:00:00-04:00,reach_semis,Spain,0.44,6110,REHEARSAL
2026-06-08T20:00:00-04:00,reach_semis,France,0.43,6949,REHEARSAL
2026-06-08T20:00:00-04:00,reach_semis,England,0.36,16344,REHEARSAL
2026-06-08T20:00:00-04:00,reach_semis,Argentina,0.32,23561,REHEARSAL
2026-06-08T20:00:00-04:00,reach_semis,Brazil,0.32,2646,REHEARSAL
2026-06-08T20:00:00-04:00,reach_semis,Portugal,0.32,4046,REHEARSAL
2026-06-08T20:00:00-04:00,reach_semis,Germany,0.24,1092,REHEARSAL
2026-06-08T20:00:00-04:00,reach_semis,Netherlands,0.22,934,REHEARSAL
2026-06-08T20:00:00-04:00,reach_semis,Norway,0.16,7504,REHEARSAL
2026-06-08T20:00:00-04:00,reach_semis,Belgium,0.16,71,REHEARSAL
2026-06-08T20:00:00-04:00,reach_semis,Colombia,0.16,57,REHEARSAL
2026-06-08T20:00:00-04:00,reach_semis,Morocco,0.12,3619,REHEARSAL
